Problema, n, K, m, Iter, |LRC|, iterations with improvement, z, S, CPU
input/max_div_15_2.txt, 15, 2, 2, 10, 2, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.003099 seconds
input/max_div_15_2.txt, 15, 2, 2, 10, 2, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.002687 seconds
input/max_div_15_2.txt, 15, 2, 2, 10, 3, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.003994 seconds
input/max_div_15_2.txt, 15, 2, 2, 10, 3, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.003912 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 2, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.005714 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 2, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.006534 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 3, false, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.007436 seconds
input/max_div_15_2.txt, 15, 2, 2, 20, 3, true, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.005915 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 2, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.006288 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 2, true, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.007032 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 3, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.005932 seconds
input/max_div_15_2.txt, 15, 2, 3, 10, 3, true, 27.3727, (8.650000  9.980000) (9.110000  3.230000) (0.580000  1.290000) , 0.007181 seconds
input/max_div_15_2.txt, 15, 2, 3, 20, 2, false, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.011379 seconds
input/max_div_15_2.txt, 15, 2, 3, 20, 2, true, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.012133 seconds
