Problema, n, K, m, z, S, CPU
input/max_div_15_2.txt, 15, 2, 2, 11.8592, (8.650000  9.980000) (0.580000  1.290000) , 0.000202 seconds
input/max_div_15_2.txt, 15, 2, 3, 27.3727, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) , 0.000846 seconds
input/max_div_15_2.txt, 15, 2, 4, 49.8268, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (0.160000  4.620000) , 0.001676 seconds
input/max_div_15_2.txt, 15, 2, 5, 79.1295, (8.650000  9.980000) (0.580000  1.290000) (9.110000  3.230000) (0.160000  4.620000) (9.960000  8.170000) , 0.003168 seconds
input/max_div_20_2.txt, 20, 2, 2, 8.51033, (0.630000  5.960000) (8.670000  3.170000) , 0.000232 seconds
input/max_div_20_2.txt, 20, 2, 3, 21.9961, (0.630000  5.960000) (8.670000  3.170000) (8.570000  8.360000) , 0.000411 seconds
input/max_div_20_2.txt, 20, 2, 4, 40.0023, (3.470000  9.430000) (8.670000  3.170000) (8.570000  8.360000) (1.160000  4.470000) , 0.001351 seconds
input/max_div_20_2.txt, 20, 2, 5, 63.6517, (0.630000  5.960000) (8.670000  3.170000) (8.570000  8.360000) (1.970000  3.500000) (3.470000  9.430000) , 0.003541 seconds
input/max_div_30_2.txt, 30, 2, 2, 11.6571, (9.840000  8.960000) (2.070000  0.270000) , 0.000264 seconds
input/max_div_30_2.txt, 30, 2, 3, 28.9443, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) , 0.000597 seconds
input/max_div_30_2.txt, 30, 2, 4, 52.7712, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) , 0.001025 seconds
input/max_div_30_2.txt, 30, 2, 5, 80.9102, (9.840000  8.960000) (2.070000  0.270000) (1.910000  9.600000) (8.000000  1.530000) (0.650000  3.260000) , 0.002209 seconds
input/max_div_15_3.txt, 15, 3, 2, 13.2732, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) , 0.000149 seconds
input/max_div_15_3.txt, 15, 3, 3, 31.8685, (9.880000  9.880000  6.260000) (5.170000  1.390000  0.910000) (1.710000  1.950000  9.220000) , 0.000697 seconds
input/max_div_15_3.txt, 15, 3, 4, 59.7638, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) (1.710000  1.950000  9.220000) (6.650000  9.450000  1.020000) , 0.000587 seconds
input/max_div_15_3.txt, 15, 3, 5, 96.0858, (9.880000  9.880000  6.260000) (0.300000  0.920000  4.230000) (1.710000  1.950000  9.220000) (1.150000  9.210000  3.110000) (9.470000  3.560000  1.830000) , 0.001477 seconds
input/max_div_20_3.txt, 20, 3, 2, 11.8003, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) , 0.000207 seconds
input/max_div_20_3.txt, 20, 3, 3, 30.8727, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) (8.870000  9.560000  5.340000) , 0.000367 seconds
input/max_div_20_3.txt, 20, 3, 4, 56.6903, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.001264 seconds
input/max_div_20_3.txt, 20, 3, 5, 92.8297, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) (8.870000  9.560000  5.340000) (0.830000  7.060000  3.340000) (9.600000  2.020000  9.000000) , 0.001137 seconds
input/max_div_30_3.txt, 30, 3, 2, 13.0737, (8.060000  9.590000  0.270000) (6.710000  0.350000  9.420000) , 0.000259 seconds
input/max_div_30_3.txt, 30, 3, 3, 34.2905, (8.060000  9.590000  0.270000) (8.320000  0.470000  8.980000) (1.530000  8.090000  9.560000) , 0.001189 seconds
input/max_div_30_3.txt, 30, 3, 4, 63.702, (8.060000  9.590000  0.270000) (8.320000  0.470000  8.980000) (1.530000  8.090000  9.560000) (6.750000  0.070000  1.800000) , 0.002071 seconds
input/max_div_30_3.txt, 30, 3, 5, 99.592, (8.060000  9.590000  0.270000) (8.320000  0.470000  8.980000) (1.530000  8.090000  9.560000) (6.750000  0.070000  1.800000) (7.540000  8.930000  9.660000) , 0.004070 seconds
